;station_name;station_id;lat;lon
378;Shady Grove Hospital;32042;39.097636;-77.196636
379;19th St & Pennsylvania Ave NW;31100;38.9003;-77.0429
380;Eisenhower Ave & Mill Race Ln;31082;38.801111;-77.068952
381;West Hyattsville Metro;32418;38.955349;-76.96808399999999
382;Columbus Circle / Union Station;31623;38.89696;-77.00493
383;15th & P St NW;31201;38.909867999999996;-77.034421
384;Metro Center / 12th & G St NW;31230;38.89827916666667;-77.02785716666666
385;Motivate BX Tech office;32900;38.964406;-77.010759
386;Greensboro & International Dr;32221;38.923083;-77.227417
387;48th Pl & MacArthur Blvd NW;31322;38.91702316666667;-77.09568466666667
388;Twinbrook Metro;32074;39.062041;-77.120776
389;Rockville Pike & Old Georgetown Rd;32077;39.049765;-77.11368
390;Vy Reston Heights;32236;38.949008;-77.355299
391;Connecticut Ave & Newark St NW / Cleveland Park;31305;38.934267;-77.057979
392;20th St & Virginia Ave NW;31259;38.894721999999994;-77.045128
393;16th & Q St SE / Anacostia HS;31812;38.870695;-76.982359
394;Independence Ave & L'Enfant Plaza SW/DOE;31633;38.887312;-77.025762
395;Stadium Armory Metro;31665;38.885482;-76.977187
396;10th St & Constitution Ave NW;31219;38.893028;-77.026013
397;17th & Upshur St NW;31420;38.942146;-77.038684
398;Kansas Ave & Sherman Cr NW;31417;38.948057;-77.021467
399;Lincoln Memorial;31258;38.888255;-77.049436
400;8th & East Capitol St NE;31629;38.889988;-76.995193
401;10th & E St NW;31256;38.895914000000005;-77.026064
402;1st & M St SE;31650;38.876893;-77.006072
403;18th & C St NW;31284;38.893511;-77.04154399999999
404;Bethesda Ave & Arlington Rd;32002;38.981103000000004;-77.097426
405;Columbia & Ontario Rd NW;31296;38.924088;-77.040787
406;3000 Connecticut Ave NW / National Zoo;31307;38.930282;-77.055599
407;14th & G St NW;31238;38.898163833333335;-77.032363
408;10th & Monroe St NE;31504;38.932514000000005;-76.992889
409;3rd & Elm St NW;31118;38.917621999999994;-77.01597
410;22nd & H St NW;31127;38.898925;-77.048852
411;11th & Park Rd NW;31651;38.931321000000004;-77.028247
412;Fairfax Dr & N Randolph St;31034;38.88239816666667;-77.10922033333334
413;Key Blvd & N Quinn St;31027;38.896355;-77.078408
414;Wisconsin Ave & O St NW;31312;38.90849;-77.063586
415;4th St & Madison Dr NW;31288;38.890495;-77.017246
416;19th St & Constitution Ave NW;31235;38.8923;-77.0436
417;17th & G St NW;31277;38.898283;-77.039732
418;24th & R St NE / National Arboretum;31520;38.91263;-76.971923
419;Van Ness Metro / UDC;31300;38.944551000000004;-77.063896
420;Oklahoma Ave & Benning Rd NE;31719;38.897434166666656;-76.96945116666667
421;King St Metro North / Cameron St;31098;38.80704;-77.05981700000001
422;11th & O St NW;31286;38.908442666666666;-77.02709716666666
423;Anacostia Library;31804;38.865784000000005;-76.9784
424;14th St Heights / 14th & Crittenden St NW;31402;38.94786116666667;-77.03288583333334
425;Wisconsin Ave & Brandywine St NW;31319;38.949842499999995;-77.080267
426;Vermont Ave & I St NW;31291;38.901136;-77.034451
427;New Jersey Ave & F St NW;31655;38.897064;-77.01191116666666
428;17th & K St NW / Farragut Square;31233;38.902060999999996;-77.038322
429;3rd & Underwood St NW;31413;38.968874666666665;-77.0162235
